"";"id";"edges";"delay";"X";"accession"
"1";"YBR117C";"pentose";0;19;"P33315"
"2";"YBR196C";"pentose";0;22;"P12709"
"3";"YCR036W";"pentose";0;16;"P25332"
"4";"YGR043C";"pentose";0;20;"P53228"
"5";"YGR248W";"pentose";0;13;"P53315"
"6";"YHR163W";"pentose";0;6;"P38858"
"7";"YKL181W";"pentose";0;7;"P32895"
"8";"YMR105C";"pentose";0;18;"P37012"
"9";"YOL061W";"pentose";0;3;"Q12265"
"10";"YOR095C";"pentose";0;12;"Q12189"
"11";"YPR074C";"pentose";0;5;"P23254"
"12";"YBL068W";"pentose";1;8;"P38063"
"13";"YJL121C";"pentose";1;15;"P46969"
"14";"YNR034W";"pentose";1;2;"P50278"
"15";"YER099C";"pentose";2;9;"P38620"
"16";"YMR205C";"pentose";2;14;"P16862"
"17";"YNL241C";"pentose";2;4;"P11412"
