"","delay","edges",".id","pvalue","rho.est","itt","V1","V4","V5","rank","p_value","q_value"
"1",0,1,NA,0,-0.975757575757576,1,"c(""YGL216W"", ""YMR062C"")","c(3925, 3703)","c(3946, 5080)",9.5,0.99905,0.99905
"2",0,3,NA,0.387054968154447,0.309090909090909,1,"c(""YLR197W"", ""YMR315W"")","c(5376, 160)","c(6196, 5102)",7418,0.2582,0.351152
"3",0,6,NA,1,0,1,"c(""YDR027C"", ""YLR344W"")","c(5438, 3145)","c(5871, 314)",5441.5,0.45585,0.484340625
"4",0,9,NA,0.00823557082285116,0.806060606060606,1,"c(""YDL110C"", ""YDR122W"")","c(2484, 2711)","c(6245, 787)",9993.5,0.000650000000000039,0.0221000000000013
"5",0,10,NA,0.864753528804526,-0.0666666666666667,1,"c(""YFL016C"", ""YGR248W"")","c(841, 4418)","c(1915, 4173)",6555,0.3445,0.403896551724138
"6",0,11,NA,0.607566897460635,0.187878787878788,1,"c(""YGL097W"", ""YML093W"")","c(151, 2768)","c(1043, 5040)",5795,0.4205,0.461193548387097
"7",0,12,NA,0.0731198750392827,0.6,1,"c(""YBR214W"", ""YML054C"")","c(6785, 5266)","c(2390, 198)",9715.5,0.02845,0.1221875
"8",0,14,NA,0.811416953056797,0.0909090909090909,1,"c(""YGR256W"", ""YML073C"")","c(1456, 962)","c(4177, 4607)",8098,0.1902,0.32334
"9",0,19,NA,0.295604089197811,0.36969696969697,1,"c(""YBR006W"", ""YHR025W"")","c(6675, 6602)","c(2175, 912)",9477,0.0523,0.138746153846154
"10",0,21,NA,0.0440265528478427,0.660606060606061,1,"c(""YDL165W"", ""YEL037C"")","c(61, 1204)","c(325, 1660)",9570.5,0.04295,0.135227272727273
"11",0,29,NA,0.94570980835199,0.0303030303030303,1,"c(""YLR009W"", ""YLR270W"")","c(2885, 97)","c(5531, 5260)",6193,0.3807,0.43146
"12",0,35,NA,0.12280318761783,0.527272727272727,1,"c(""YGR162W"", ""YOR048C"")","c(3437, 6597)","c(2851, 4652)",8612,0.1388,0.248378947368421
"13",0,93,NA,0.247370787611931,0.406060606060606,1,"c(""YGL167C"", ""YMR258C"")","c(60, 2355)","c(800, 5099)",8928.5,0.10715,0.2143
"14",0,137,NA,0.00138026714145767,0.890909090909091,1,"c(""YHR179W"", ""YJL217W"")","c(5481, 2528)","c(4810, 3258)",9924,0.00760000000000005,0.0646000000000004
"15",0,169,NA,0,0.939393939393939,1,"c(""YLR188W"", ""YMR291W"")","c(3399, 3640)","c(1789, 4807)",9966.5,0.00334999999999996,0.0566666666666667
"16",0,178,NA,0.10429776397167,0.551515151515151,1,"c(""YLR114C"", ""YNL232W"")","c(1344, 3503)","c(6233, 4325)",7986,0.2014,0.326076190476191
"17",0,203,NA,0.258418725231878,0.395138603392042,1,"c(""YGL106W"", ""YPL190C"")","c(6378, 956)","c(4001, 2721)",7681.5,0.23185,0.342734782608696
"18",1,5,NA,0.00724206349206349,0.880952380952381,1,"c(""YBR230W-A"", ""YDR084C"")","c(3616, 3353)","c(6316, 2702)",9950,0.005,0.0566666666666667
"19",1,6,NA,0.0367559523809524,0.761904761904762,1,"c(""YFR004W"", ""YOR027W"")","c(5423, 1759)","c(3438, 865)",9712.5,0.0287500000000001,0.1221875
"20",1,8,NA,0.582142857142857,0.238095238095238,1,"c(""YBR046C"", ""YGL036W"")","c(4535, 4126)","c(2308, 4043)",7176.5,0.28235,0.369226923076923
"21",1,37,NA,0.427876984126984,0.333333333333333,1,"c(""YDR204W"", ""YER182W"")","c(1964, 2191)","c(121, 3001)",7814,0.2186,0.337836363636364
"22",2,1,NA,0.355555555555556,-0.485714285714286,1,"c(""YJR109C"", ""YNL329C"")","c(5940, 1217)","c(266, 1837)",1700,0.83,0.855151515151515
"23",2,2,NA,0.0333333333333333,0.885714285714286,1,"c(""YDR392W"", ""YEL056W"")","c(3556, 6245)","c(368, 2890)",9840,0.016,0.0906666666666668
"24",2,3,NA,0.175,0.657142857142857,1,"c(""YKL021C"", ""YOR086C"")","c(669, 5552)","c(1001, 6202)",8960.5,0.10395,0.2143
"25",2,6,NA,0.0166666666666667,0.942857142857143,1,"c(""YJR073C"", ""YNL055C"")","c(6205, 6644)","c(306, 293)",9871,0.0129,0.0877200000000001
"26",2,7,NA,0.241666666666667,0.6,1,"c(""YKL173W"", ""YMR008C"")","c(864, 241)","c(2001, 2752)",9182.5,0.08175,0.1853
"27",2,8,NA,0.136111111111111,0.714285714285714,1,"c(""YMR170C"", ""YNL178W"")","c(3298, 3512)","c(3733, 320)",9469.5,0.05305,0.138746153846154
