"";"id";"edges";"delay";"X";"accession"
"1";"YAL012W";"GlySerThrMetabo";0;22;"P31373"
"2";"YBR263W";"GlySerThrMetabo";0;4;"P37292"
"3";"YCR053W";"GlySerThrMetabo";0;16;"P16120"
"4";"YDL021W";"GlySerThrMetabo";0;12;"Q12008"
"5";"YDR158W";"GlySerThrMetabo";0;24;"P13663"
"6";"YEL046C";"GlySerThrMetabo";0;11;"P37303"
"7";"YER026C";"GlySerThrMetabo";0;14;"P08456"
"8";"YER052C";"GlySerThrMetabo";0;1;"P10869"
"9";"YER086W";"GlySerThrMetabo";0;25;"P00927"
"10";"YFL018C";"GlySerThrMetabo";0;9;"P09624"
"11";"YGR155W";"GlySerThrMetabo";0;13;"P32582"
"12";"YGR208W";"GlySerThrMetabo";0;10;"P42941"
"13";"YHR025W";"GlySerThrMetabo";0;26;"P17423"
"14";"YJR139C";"GlySerThrMetabo";0;21;"P31116"
"15";"YKR043C";"GlySerThrMetabo";0;8;"P36136"
"16";"YLR058C";"GlySerThrMetabo";0;6;"P37291"
"17";"YMR189W";"GlySerThrMetabo";0;19;"P49095"
"18";"YOR283W";"GlySerThrMetabo";0;5;"Q12040"
"19";"YDR019C";"GlySerThrMetabo";1;23;"P48015"
"20";"YGR205W";"GlySerThrMetabo";1;17;"P42938"
"21";"YIL074C";"GlySerThrMetabo";1;18;"P40510"
