"","id","pathway","protein","edges","delay","X","accession","var","prt","trc","var.prt","var.trc","prt.norm","trc.norm"
"1","YBL068W","pentose","PRS4","pentose",1,8,"P38063","0min",1,1,1,2,-0.658176930855437,1.57395563649777
"2","YBL068W","pentose","PRS4","pentose",1,8,"P38063","30min",0.991485677998035,0.463294030945185,2,3,-0.6882680228042,-1.16743512779608
"3","YBL068W","pentose","PRS4","pentose",1,8,"P38063","60min",0.993518246014027,0.641712948781452,3,4,-0.681084574603952,-0.256105644367716
"4","YBL068W","pentose","PRS4","pentose",1,8,"P38063","90min",1.32152421729004,0.637280313659631,4,5,0.478145466159304,-0.278746691207282
"5","YBL068W","pentose","PRS4","pentose",1,8,"P38063","120min",1.62463287025415,0.716977624007914,5,6,1.54938406210428,0.128331826873311
"6","YBR117C","pentose","TKL2","pentose",0,19,"P33315","0min",1,1,1,1,-1.7198258445654,-0.72827369391636
"7","YBR117C","pentose","TKL2","pentose",0,19,"P33315","30min",5.33500609032721,46.2057342567199,2,2,-0.0448232873682884,1.67149242026559
"8","YBR117C","pentose","TKL2","pentose",0,19,"P33315","60min",6.94318019063419,18.2522194538948,3,3,0.576558937778486,0.187567898319983
"9","YBR117C","pentose","TKL2","pentose",0,19,"P33315","90min",7.07008394185905,4.5315355411832,4,4,0.625593265156676,-0.540800589848797
"10","YBR117C","pentose","TKL2","pentose",0,19,"P33315","120min",6.90678687682016,3.60500185044332,5,5,0.562496928998524,-0.589986034820415
"11","YBR196C","pentose","PGI1","pentose",0,22,"P12709","0min",1,1,1,1,-1.33808866080118,-0.890984841996256
"12","YBR196C","pentose","PGI1","pentose",0,22,"P12709","30min",1.38294199162197,0.993092495437036,2,2,-0.270983930568227,-0.935561862919485
"13","YBR196C","pentose","PGI1","pentose",0,22,"P12709","60min",1.36141086727052,1.09429370126074,3,3,-0.330982481642109,-0.282468082330888
"14","YBR196C","pentose","PGI1","pentose",0,22,"P12709","90min",1.92479520016157,1.2834258975629,4,4,1.23894220596083,0.93808121951423
"15","YBR196C","pentose","PGI1","pentose",0,22,"P12709","120min",1.73178936637615,1.31950791077289,5,5,0.701112867050683,1.1709335677324
"16","YCR036W","pentose","RBK1","pentose",0,16,"P25332","0min",1,1,1,1,1.26560414168615,-1.17581270295417
"17","YCR036W","pentose","RBK1","pentose",0,16,"P25332","30min",0.970672656207225,1.5691681957935,2,2,0.504650766776841,1.04067489858248
"18","YCR036W","pentose","RBK1","pentose",0,16,"P25332","60min",0.954266890205351,1.5691681957935,3,3,0.0789721545128222,1.04067489858248
"19","YCR036W","pentose","RBK1","pentose",0,16,"P25332","90min",0.897769722531739,1.14869835499704,4,4,-1.38695366262998,-0.596742996221294
"20","YCR036W","pentose","RBK1","pentose",0,16,"P25332","120min",0.933407143751709,1.22264027769207,5,5,-0.462273400345835,-0.30879409798949
"21","YER099C","pentose","PRS2","pentose",2,9,"P38620","0min",1,1,1,3,-1.25180473700214,1.45205980531151
"22","YER099C","pentose","PRS2","pentose",2,9,"P38620","30min",1.10621053749713,0.737134608645551,2,4,0.20323434978248,-0.993604416375374
"23","YER099C","pentose","PRS2","pentose",2,9,"P38620","60min",1.17541815919226,0.747424624317469,3,5,1.15134926420465,-0.897867495513567
"24","YER099C","pentose","PRS2","pentose",2,9,"P38620","90min",1.03446324469363,0.864537231307865,4,6,-0.779672976177425,0.191732437551339
"25","YER099C","pentose","PRS2","pentose",2,9,"P38620","120min",1.14078531767486,0.870550563296124,5,7,0.676894099192436,0.247679669026096
"26","YGR043C","pentose","NQM1","pentose",0,20,"P53228","0min",1,1,1,1,-1.70935644535471,-0.769659191505374
"27","YGR043C","pentose","NQM1","pentose",0,20,"P53228","30min",3.65020050701197,55.7152360509519,2,2,-0.0619370801058425,1.68150039845091
"28","YGR043C","pentose","NQM1","pentose",0,20,"P53228","60min",4.89637107549525,21.4068408765778,3,3,0.71270828030774,0.144536329258815
"29","YGR043C","pentose","NQM1","pentose",0,20,"P53228","90min",4.5131260466504,6.96440450636899,4,4,0.474475255869071,-0.502462915671882
"30","YGR043C","pentose","NQM1","pentose",0,20,"P53228","120min",4.68949524092522,5.81589006928124,5,5,0.584109989283737,-0.553914620532468
"31","YGR248W","pentose","SOL4","pentose",0,13,"P53315","0min",1,1,1,1,-1.72946804568717,-0.843489199675988
"32","YGR248W","pentose","SOL4","pentose",0,13,"P53315","30min",1.58807303817407,26.3549125525623,2,2,0.0231121393450386,1.72267164433255
"33","YGR248W","pentose","SOL4","pentose",0,13,"P53315","60min",1.71795730882036,8.45614432449104,3,3,0.410194328640476,-0.0888557307921908
"34","YGR248W","pentose","SOL4","pentose",0,13,"P53315","90min",1.80047740298642,5.24157361543345,4,4,0.656121403194813,-0.414201182754585
"35","YGR248W","pentose","SOL4","pentose",0,13,"P53315","120min",1.79508139480781,5.61777950295199,5,5,0.640040174506842,-0.376125531109792
"36","YHR163W","pentose","SOL3","pentose",0,6,"P38858","0min",1,1,1,1,1.66102916241796,1.37386853071822
"37","YHR163W","pentose","SOL3","pentose",0,6,"P38858","30min",0.82551352031534,0.76312960448028,2,2,-0.0550934068755726,-0.892875260308355
"38","YHR163W","pentose","SOL3","pentose",0,6,"P38858","60min",0.808399816303539,0.76312960448028,3,3,-0.223411397770555,-0.892875260308355
"39","YHR163W","pentose","SOL3","pentose",0,6,"P38858","90min",0.795486282606879,0.926588061890371,4,4,-0.350419557177642,0.671349102183831
"40","YHR163W","pentose","SOL3","pentose",0,6,"P38858","120min",0.72617604771748,0.829319545814442,5,5,-1.03210480059419,-0.25946711228534
"41","YJL121C","pentose","RPE1","pentose",1,15,"P46969","0min",1,1,1,2,0.778493533228567,0.572261316612148
"42","YJL121C","pentose","RPE1","pentose",1,15,"P46969","30min",0.998215459955678,0.655196701929182,2,3,0.75259571295563,-1.7779229825732
"43","YJL121C","pentose","RPE1","pentose",1,15,"P46969","60min",0.878785161606728,0.972654947412286,3,4,-0.980615268566458,0.385877040093875
"44","YJL121C","pentose","RPE1","pentose",1,15,"P46969","90min",0.991188773988559,0.993092495437036,4,5,0.650622181529497,0.525179664953773
"45","YJL121C","pentose","RPE1","pentose",1,15,"P46969","120min",0.86359249388016,0.959264119325264,5,6,-1.20109615914723,0.294604960913403
"46","YKL181W","pentose","PRS1","pentose",0,7,"P32895","0min",1,1,1,1,1.67681727849599,1.45804461689419
"47","YKL181W","pentose","PRS1","pentose",0,7,"P32895","30min",0.835794563114514,0.332171453524128,2,2,-0.0517940730708953,-1.365174059488
"48","YKL181W","pentose","PRS1","pentose",0,7,"P32895","60min",0.804376876467721,0.637280313659631,3,3,-0.382532024308732,-0.0753384619985213
"49","YKL181W","pentose","PRS1","pentose",0,7,"P32895","90min",0.816433508183874,0.641712948781452,4,4,-0.255610341071545,-0.0565996729372411
"50","YKL181W","pentose","PRS1","pentose",0,7,"P32895","120min",0.746968158638107,0.664342907048256,5,5,-0.986880840044821,0.0390675775295641
"51","YMR105C","pentose","PGM2","pentose",0,18,"P37012","0min",1,1,1,1,-1.73342154266493,-1.0292544552173
"52","YMR105C","pentose","PGM2","pentose",0,18,"P37012","30min",1.74322279876724,25.9920766833995,2,2,0.32253199437506,1.6488216701603
"53","YMR105C","pentose","PGM2","pentose",0,18,"P37012","60min",1.73962014308912,10.6294865127721,3,3,0.312566082811974,0.00261249430394952
"54","YMR105C","pentose","PGM2","pentose",0,18,"P37012","90min",1.71361996284595,6.58872813814059,4,4,0.240642612994743,-0.430383077396907
"55","YMR105C","pentose","PGM2","pentose",0,18,"P37012","120min",1.9366779644189,8.81524092701289,5,5,0.857680852483152,-0.191796631850049
"56","YMR205C","pentose","PFK2","pentose",2,14,"P16862","0min",1,1,1,3,-1.42125270264533,-0.654375464698774
