"";"id";"edges";"delay";"X";"accession"
"1";"YBR117C";"pentose";0;5750;"P33315"
"2";"YBR196C";"pentose";0;6777;"P12709"
"3";"YCR036W";"pentose";0;4976;"P25332"
"4";"YGR043C";"pentose";0;6113;"P53228"
"5";"YGR248W";"pentose";0;4418;"P53315"
"6";"YHR163W";"pentose";0;1313;"P38858"
"7";"YKL181W";"pentose";0;1944;"P32895"
"8";"YMR105C";"pentose";0;5142;"P37012"
"9";"YOL061W";"pentose";0;731;"Q12265"
"10";"YOR095C";"pentose";0;4209;"Q12189"
"11";"YPR074C";"pentose";0;1126;"P23254"
"12";"YBL068W";"pentose";1;2717;"P38063"
"13";"YJL121C";"pentose";1;4649;"P46969"
"14";"YNR034W";"pentose";1;401;"P50278"
"15";"YER099C";"pentose";2;2878;"P38620"
"16";"YMR205C";"pentose";2;4611;"P16862"
"17";"YNL241C";"pentose";2;776;"P11412"
