"","id","edges","delay","X","accession","var","prt","trc","var.prt","var.trc","prt.norm","trc.norm"
"1","YBR006W",19,0,6675,"P38067","0min",1,1,1,1,-1.7126577189935,-1.27051769599443
"2","YBR006W",19,0,6675,"P38067","30min",1.4569768989709,3.01049349482213,2,2,-0.00666168255528145,1.36960257949075
"3","YBR006W",19,0,6675,"P38067","60min",1.58977733271035,2.37841423000544,3,3,0.489111767058866,0.539574883776199
"4","YBR006W",19,0,6675,"P38067","90min",1.57311934691827,1.79005014185594,4,4,0.426923814450483,-0.233047341807406
"5","YBR006W",19,0,6675,"P38067","120min",1.67393307952798,1.65863909162888,5,5,0.803283820039427,-0.405612425465117
"6","YBR017C",15,2,4948,"P38217","0min",1,1,1,3,1.46988174038466,-1.28827862699024
"7","YBR017C",15,2,4948,"P38217","30min",0.862914329349319,1.03526492384138,2,4,0.330118045551133,1.01908104325874
"8","YBR017C",15,2,4948,"P38217","60min",0.68864154076214,1.02811382665607,3,5,-1.11882841607585,0.55118968135943
"9","YBR017C",15,2,4948,"P38217","90min",0.82448693288784,1.02811382665607,4,6,0.0106233006527082,0.55118968135943
"10","YBR017C",15,2,4948,"P38217","120min",0.740003246408988,1.00695555005672,5,7,-0.691794670512653,-0.833181778987396
"11","YBR046C",8,1,4535,"P38230","0min",1,1,1,2,-1.26032427003886,-1.06647174934085
"12","YBR046C",8,1,4535,"P38230","30min",1.14590166879199,2.65737162819302,2,3,0.302994363901436,1.65454648779617
"13","YBR046C",8,1,4535,"P38230","60min",1.21889859716451,1.53687518128801,3,4,1.08514757222332,-0.185047731636598
"14","YBR046C",8,1,4535,"P38230","90min",1.04138175062811,1.48452357062905,4,5,-0.816923845645952,-0.270996884453847
"15","YBR046C",8,1,4535,"P38230","120min",1.18193677834794,1.5691681957935,5,6,0.689106179560052,-0.132030122364882
"16","YBR214W",12,0,6785,"P38314","0min",1,1,1,1,-1.72673490788797,-0.742784304130129
"17","YBR214W",12,0,6785,"P38314","30min",1.51218945682487,11.55143356418,2,2,0.469390019804884,1.75383326821402
"18","YBR214W",12,0,6785,"P38314","60min",1.43148180507264,3.31727818325777,3,3,0.12333821513209,-0.194483696715871
"19","YBR214W",12,0,6785,"P38314","90min",1.47328041185465,2.31337636781057,4,4,0.302558933312911,-0.432020984716455
"20","YBR214W",12,0,6785,"P38314","120min",1.5966300751714,2.51402674904366,5,5,0.831447739638085,-0.384544282651564
"21","YBR230W-A",5,1,3616,"Q3E762","0min",1,1,1,2,1.22480570037496,-0.953569100396332
"22","YBR230W-A",5,1,3616,"Q3E762","30min",0.789085834430418,0.933032991536807,2,3,-0.344000265315207,-1.21396663403411
"23","YBR230W-A",5,1,3616,"Q3E762","60min",0.663535114669235,1.46408569594563,3,4,-1.27786223530725,0.851002634165092
"24","YBR230W-A",5,1,3616,"Q3E762","90min",0.939824767400746,1.38510946811092,4,5,0.777214787580823,0.543907910716683
"25","YBR230W-A",5,1,3616,"Q3E762","120min",0.78422470059033,1.4439291955225,5,6,-0.380157987333325,0.772625189548665
"26","YDL110C",9,0,2484,"Q12513","0min",1,1,1,1,-1.69876653476137,-0.839513662956335
"27","YDL110C",9,0,2484,"Q12513","30min",1.44939594380631,7.56846117380477,2,2,0.481104188985183,1.73636781699728
"28","YDL110C",9,0,2484,"Q12513","60min",1.39405617371162,2.36198532285906,3,3,0.212669312456183,-0.30539879551789
"29","YDL110C",9,0,2484,"Q12513","90min",1.36974843281628,2.18858740252148,4,4,0.0947605207359823,-0.373398358861785
"30","YDL110C",9,0,2484,"Q12513","120min",1.53786381756456,2.58470566127498,5,5,0.91023251258402,-0.218056999661272
"31","YDL165W",21,0,61,"P06100","0min",1,1,1,1,1.58422503510264,-0.156279582569092
"32","YDL165W",21,0,61,"P06100","30min",0.880166428313674,0.907519155317161,2,2,-0.0536363146119643,-0.880295802628166
"33","YDL165W",21,0,61,"P06100","60min",0.896143497811933,1.23114441334492,3,3,0.164735083692007,1.65330925727865
"34","YDL165W",21,0,61,"P06100","90min",0.81419936250403,0.933032991536807,4,4,-0.955261008954826,-0.680552479323696
"35","YDL165W",21,0,61,"P06100","120min",0.829944267025962,1.02811382665607,5,5,-0.740062795227859,0.0638186072422987
"36","YDR027C",6,0,5438,"Q12071","0min",1,1,1,1,-1.61764245272513,-0.617980240467999
"37","YDR027C",6,0,5438,"Q12071","30min",1.1892127614407,1.45397251732031,2,2,-0.238451065463185,1.75864727536079
"38","YDR027C",6,0,5438,"Q12071","60min",1.329510358882,1.07922823650443,3,3,0.784192632410343,-0.203206218422616
"39","YDR027C",6,0,5438,"Q12071","90min",1.33135093137928,1.05701804056138,4,4,0.79760875570214,-0.319480576002175
"40","YDR027C",6,0,5438,"Q12071","120min",1.25955655624243,1,5,5,0.274292130075826,-0.617980240467999
"41","YDR062W",93,2,2130,"P40970","0min",1,1,1,3,-0.683794812520788,1.11789654077333
"42","YDR062W",93,2,2130,"P40970","30min",1.1329239057523,0.959264119325264,2,4,1.08250109974594,0.0531075943751821
"43","YDR062W",93,2,2130,"P40970","60min",1.06688163168205,0.895025070927972,3,5,0.204929845223376,-1.62602705369429
"44","YDR062W",93,2,2130,"P40970","90min",1.10652615378935,0.965936328924846,4,6,0.731727165431446,0.22751145927289
"45","YDR062W",93,2,2130,"P40970","120min",0.950965731541605,0.965936328924846,5,7,-1.33536329787998,0.22751145927289
"46","YDR084C",5,1,3353,"P38962","0min",1,1,1,2,0.125448047585853,-0.911782220342509
"47","YDR084C",5,1,3353,"P38962","30min",0.899434277892141,0.972654947412286,2,3,-0.565498936466335,-1.18759645828983
"48","YDR084C",5,1,3353,"P38962","60min",0.827885005962358,1.18920711500272,3,4,-1.05708545933734,0.996644032314743
"49","YDR084C",5,1,3353,"P38962","90min",1.21360760728075,1.11728713807222,4,5,1.59306075823633,0.271227485147908
"50","YDR084C",5,1,3353,"P38962","120min",0.96777975507873,1.17283494923188,5,6,-0.0959244100185095,0.831507161169689
"51","YDR122W",9,0,2711,"P13185","0min",1,1,1,1,-1.72140410372397,-0.868301584952684
"52","YDR122W",9,0,2711,"P13185","30min",1.38385997483654,2.21913894413569,2,2,0.538537062870995,1.71564816505713
"53","YDR122W",9,0,2711,"P13185","60min",1.33968302597048,1.35660432744767,3,3,0.278449239441427,-0.112483171314778
"54","YDR122W",9,0,2711,"P13185","90min",1.30792846576414,1.18920711500272,4,4,0.0914971148600765,-0.467279470235508
"55","YDR122W",9,0,2711,"P13185","120min",1.43046512210249,1.2834258975629,5,5,0.812920686551473,-0.26758393855416
"56","YDR177W",164,2,6222,"P21734","0min",1,1,1,3,1.40703329151106,-0.00912446843698091
