"","id","uniid"
"1","YER052C","P10869"
"2","YDR232W","P09950"
"3","YOR184W","P33330"
"4","YBR263W","P37292"
"5","YOR283W","Q12040"
"6","YLR058C","P37291"
"7","YER081W","P40054"
"8","YKR043C","P36136"
"9","YFL018C","P09624"
"10","YGR208W","P42941"
"11","YEL046C","P37303"
"12","YDL021W","Q12008"
"13","YGR155W","P32582"
"14","YER026C","P08456"
"15","YOL056W","Q12326"
"16","YCR053W","P16120"
"17","YGR205W","P42938"
"18","YIL074C","P40510"
"19","YMR189W","P49095"
"20","YGL026C","P00931"
"21","YJR139C","P31116"
"22","YAL012W","P31373"
"23","YDR019C","P48015"
"24","YDR158W","P13663"
"25","YER086W","P00927"
"26","YHR025W","P17423"
