!
!Date: 09/14/2017
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Feature	Feature Systematic Name	Feature Type	Coordinates	Strand
TEL04L	TEL04L	telomere	1-904	-
ARS400	ARS400	ARS	137-1392	0
COS7	YDL248W	ORF	1802-2953	+
YDL247W-A	YDL247W-A	ORF	3762-3836	+
MPH2	YDL247W	ORF	5985-7814	+
SOR2	YDL246C	ORF	8683-9756	-
HXT15	YDL245C	ORF	11657-13360	-
ARS403	ARS403	ARS	15493-15739	0
THI13	YDL244W	ORF	16204-17226	+
AAD4	YDL243C	ORF	17577-18566	-
YDL242W	YDL242W	ORF	18959-19312	+
YDL241W	YDL241W	ORF	20635-21006	+
YDL240C-A	YDL240C-A	ORF	22471-22608	-
LRG1	YDL240W	ORF	22823-25876	+
ADY3	YDL239C	ORF	26403-28775	-
GUD1	YDL238C	ORF	28985-30454	-
AIM6	YDL237W	ORF	30657-31829	+
PHO13	YDL236W	ORF	32296-33234	+
YPD1	YDL235C	ORF	33415-33918	-
GYP7	YDL234C	ORF	34237-36477	-
MFG1	YDL233W	ORF	36797-38173	+
OST4	YDL232W	ORF	38487-38597	+
BRE4	YDL231C	ORF	38867-42244	-
PTP1	YDL230W	ORF	42700-43707	+
SSB1	YDL229W	ORF	44065-45906	+
YDL228C	YDL228C	ORF	45277-45918	-
ARS404	ARS404	ARS	46185-46237	0
HO	YDL227C	ORF	46271-48031	-
GCS1	YDL226C	ORF	51115-52173	-
SHS1	YDL225W	ORF	52445-54100	+
WHI4	YDL224C	ORF	54397-56346	-
HBT1	YDL223C	ORF	57265-60405	-
FMP45	YDL222C	ORF	60872-61801	-
YDL221W	YDL221W	ORF	62011-62562	+
CDC13	YDL220C	ORF	62244-65018	-
DTD1	YDL219W	ORF	65242-65765	+
YDL218W	YDL218W	ORF	66493-67446	+
TIM22	YDL217C	ORF	67983-68606	-
RRI1	YDL216C	ORF	68997-70319	-
GDH2	YDL215C	ORF	70640-73918	-
PRR2	YDL214C	ORF	74446-76545	-
NOP6	YDL213C	ORF	77289-77966	-
SHR3	YDL212W	ORF	78426-79058	+
YDL211C	YDL211C	ORF	79294-80412	-
tG(GCC)D1	tG(GCC)D1	tRNA_gene	83548-83618	+
UGA4	YDL210W	ORF	84270-85985	+
ARS405	ARS405	ARS	85945-86176	0
CWC2	YDL209C	ORF	86207-87226	-
NHP2	YDL208W	ORF	87512-87982	+
GLE1	YDL207W	ORF	88248-89864	+
YDL206W	YDL206W	ORF	90176-92464	+
HEM3	YDL205C	ORF	92762-93745	-
RTN2	YDL204W	ORF	94605-95786	+
ACK1	YDL203C	ORF	96082-97953	-
MRPL11	YDL202W	ORF	98475-99224	+
TRM8	YDL201W	ORF	99561-100421	+
MGT1	YDL200C	ORF	100501-101067	-
YDL199C	YDL199C	ORF	101290-103353	-
GGC1	YDL198C	ORF	103649-104551	-
ASF2	YDL197C	ORF	104917-106494	-
YDL196W	YDL196W	ORF	106741-107070	+
SEC31	YDL195W	ORF	107208-111029	+
SNF3	YDL194W	ORF	111580-114234	+
NUS1	YDL193W	ORF	114672-115799	+
ARF1	YDL192W	ORF	116321-116866	+
RPL35A	YDL191W	ORF	117664-118517	+
UFD2	YDL190C	ORF	118707-121592	-
RBS1	YDL189W	ORF	122216-123589	+
ARS406	ARS406	ARS	123617-123901	0
PPH22	YDL188C	ORF	123865-124998	-
YDL187C	YDL187C	ORF	125509-125838	-
YDL186W	YDL186W	ORF	125616-126449	+
YDL185C-A	YDL185C-A	ORF	126608-126835	-
VMA1	YDL185W	ORF	126787-130002	+
VDE	VDE	intein_encoding_region	127636-129000	+
RPL41A	YDL184C	ORF	130407-130484	-
YDL183C	YDL183C	ORF	130871-131833	-
LYS20	YDL182W	ORF	133437-134723	+
INH1	YDL181W	ORF	135179-135436	+
YDL180W	YDL180W	ORF	135896-137539	+
PCL9	YDL179W	ORF	138291-139205	+
DLD2	YDL178W	ORF	139522-141114	+
YDL177C	YDL177C	ORF	141209-141721	-
YDL176W	YDL176W	ORF	142097-144223	+
AIR2	YDL175C	ORF	144484-145518	-
DLD1	YDL174C	ORF	145826-147589	-
PAR32	YDL173W	ORF	148191-149078	+
YDL172C	YDL172C	ORF	148607-149086	-
GLT1	YDL171C	ORF	149203-155640	-
UGA3	YDL170W	ORF	156318-157904	+
UGX2	YDL169C	ORF	158064-158735	-
SFA1	YDL168W	ORF	159604-160764	+
NRP1	YDL167C	ORF	160995-163154	-
FAP7	YDL166C	ORF	163449-164042	-
CDC36	YDL165W	ORF	164290-164865	+
CDC9	YDL164C	ORF	164987-167254	-
YDL163W	YDL163W	ORF	166956-167258	+
YDL162C	YDL162C	ORF	167359-167715	-
ENT1	YDL161W	ORF	167714-169078	+
MHF2	YDL160C-A	ORF	169366-169608	-
DHH1	YDL160C	ORF	170410-171930	-
YDL159W-A	YDL159W-A	ORF	172182-172313	+
STE7	YDL159W	ORF	172481-174028	+
YDL159C-B	YDL159C-B	ORF	173056-173232	-
YDL158C	YDL158C	ORF	173866-174174	-
YDL157C	YDL157C	ORF	174232-174588	-
CMR1	YDL156W	ORF	174918-176486	+
CLB3	YDL155W	ORF	176773-178056	+
MSH5	YDL154W	ORF	178334-181039	+
SAS10	YDL153C	ORF	181186-183018	-
YDL152W	YDL152W	ORF	182822-183187	+
BUD30	YDL151C	ORF	183318-183899	-
RPC53	YDL150W	ORF	183343-184611	+
ATG9	YDL149W	ORF	184925-187918	+
NOP14	YDL148C	ORF	188154-190586	-
RPN5	YDL147W	ORF	190924-192261	+
LDB17	YDL146W	ORF	192750-194225	+
COP1	YDL145C	ORF	194571-198176	-
YDL144C	YDL144C	ORF	198662-199732	-
CCT4	YDL143W	ORF	199996-201582	+
CRD1	YDL142C	ORF	201719-202570	-
BPL1	YDL141W	ORF	203039-205111	+
RPO21	YDL140C	ORF	205360-210561	-
SCM3	YDL139C	ORF	211375-212046	-
ARS409	ARS409	ARS	212519-212618	0
RGT2	YDL138W	ORF	213351-215642	+
ARF2	YDL137W	ORF	216529-217074	+
RPL35B	YDL136W	ORF	217600-218367	+
RDI1	YDL135C	ORF	218680-219288	-
PPH21	YDL134C	ORF	219662-220771	-
RPL41B	YDL133C-A	ORF	221724-221801	-
SRF1	YDL133W	ORF	222427-223740	+
CDC53	YDL132W	ORF	224304-226751	+
LYS21	YDL131W	ORF	227393-228715	+
STF1	YDL130W-A	ORF	229171-229431	+
RPP1B	YDL130W	ORF	229906-230527	+
YDL129W	YDL129W	ORF	231024-231899	+
VCX1	YDL128W	ORF	232652-233887	+
PCL2	YDL127W	ORF	234927-235853	+
ARS409.5	ARS409.5	ARS	235937-236185	0
CDC48	YDL126C	ORF	236157-238664	-
HNT1	YDL125C	ORF	239019-239606	-
YDL124W	YDL124W	ORF	240259-241197	+
SNA4	YDL123W	ORF	241418-241840	+
UBP1	YDL122W	ORF	242552-244981	+
YDL121C	YDL121C	ORF	245133-245582	-
YFH1	YDL120W	ORF	245923-246447	+
HEM25	YDL119C	ORF	246689-247612	-
YDL118W	YDL118W	ORF	247302-247682	+
CYK3	YDL117W	ORF	248581-251238	+
NUP84	YDL116W	ORF	251566-253746	+
ARS410	ARS410	ARS	253791-254039	0
IWR1	YDL115C	ORF	253995-255126	-
YDL114W-A	YDL114W-A	ORF	254935-255048	+
YDL114W	YDL114W	ORF	255604-256530	+
ARS411	ARS411	ARS	256530-256633	0
ATG20	YDL113C	ORF	256633-258555	-
TRM3	YDL112W	ORF	258915-263225	+
RRP42	YDL111C	ORF	263313-264110	-
TMA17	YDL110C	ORF	264512-264964	-
YDL109C	YDL109C	ORF	265258-267201	-
KIN28	YDL108W	ORF	267698-268699	+
MSS2	YDL107W	ORF	268921-269976	+
PHO2	YDL106C	ORF	270222-271901	-
NSE4	YDL105W	ORF	272389-273597	+
QRI7	YDL104C	ORF	273653-274876	-
