"","id","uniid"
"1","YHR055C","P0CX81"
"2","YHR055C","P0CX80"
"3","YPR161C","P23293"
"4","YOL138C","Q08281"
"5","YDR395W","Q04175"
"6","YGR129W","P53277"
"7","YPR165W","P06780"
"8","YPR098C","Q06089"
"9","YPL015C","P53686"
"10","YCL050C","P16550"
"11","YAL069W","O13588"
"12","YMR193W","P36525"
"13","YLR031W","Q07978"
"14","YIL014C-A","Q02598"
"15","YGR053C","P53234"
"16","YCR101C","P25607"
"17","YER087C-B","P52870"
"18","YOR280C","Q99369"
"19","YGR097W","P48361"
"20","YHR215W","P38693"
"21","YKL025C","P36102"
"22","YKR011C","Q02209"
"23","YEL004W","P40004"
"24","YJL200C","P39533"
"25","YLL027W","Q07821"
"26","YOR024W","Q12070"
"27","YLR045C","P46675"
"28","YDR348C","Q05518"
"29","YPL183C","Q08924"
"30","YGR003W","P53202"
"31","YBL095W","P38172"
"32","YGL060W","P53169"
"33","YLL007C","Q07799"
"34","YEL009C","P03069"
"35","YEL015W","P39998"
"36","YOR083W","Q12416"
"37","YBR252W","P33317"
"38","YDR329C","P28795"
"39","YDL202W","P36521"
"40","YHR209W","P38892"
"41","YPR008W","Q12753"
"42","YER075C","P40048"
"43","YDL203C","Q07622"
"44","YBR050C","P38232"
"45","YMR197C","Q04338"
"46","YDR261W-A","Q99303"
"47","YBL049W","P38191"
"48","YER054C","P40036"
"49","YDR305C","P49775"
"50","YHL019W-A","A0A023PXL1"
"51","YNL201C","P40164"
"52","YHR180W-A","P0C5N8"
"53","YCR061W","P25639"
"54","YBR206W","P38309"
"55","YPL171C","P41816"
"56","YHR051W","P00427"
"57","YDL116W","P52891"
"58","YPR124W","P49573"
"59","YJL023C","P47065"
"60","YGL167C","P13586"
"61","YDL165W","P06100"
"62","YLR154C-H","P0CY04"
"63","YLR154C-H","P0CY03"
"64","YLR154C-H","P0CY05"
"65","YLR154C-H","P0CY02"
"66","YPL119C-A","Q3E751"
"67","YIL143C","Q00578"
"68","YBR292C","P38357"
"69","YGR240C","P16861"
"70","YOR094W","P40994"
"71","YDR167W","Q12030"
"72","YBR063C","P38083"
"73","YER052C","P10869"
"74","YGR178C","P53297"
"75","YPL118W","Q02950"
"76","YPR187W","P20435"
"77","YJL065C","P40366"
"78","YOL141W","Q08282"
"79","YPR086W","P29055"
"80","YBR122C","P36531"
"81","YBR271W","P38347"
"82","YBR279W","P38351"
"83","YHR095W","P38808"
"84","YMR221C","Q04991"
"85","YDR241W","Q03783"
"86","YJL221C","P0CW41"
